ticker,year,month,day,filename,BrexitExposure,BrexitRisk,BrexitSentiment,NonBrexitRisk,NonBrexitSentiment
BP.L,2013,10,29,/Users/min/brexit-uncertainty/src/processed/2013/BP.L-2013-10-29-138492794670.txt,0.0,0.0,-0.0,9.0,-37.0
7203.T,2013,05,08,/Users/min/brexit-uncertainty/src/processed/2013/7203.T-2013-05-08-137290957349.txt,0.0,0.0,-0.0,0.0,-1.0
JNJ.N,2013,10,15,/Users/min/brexit-uncertainty/src/processed/2013/JNJ.N-2013-10-15-138317421047.txt,0.0,0.0,-0.0,2.0,192.0
DPWGn.DE,2013,03,05,/Users/min/brexit-uncertainty/src/processed/2013/DPWGn.DE-2013-03-05-138356575985.txt,0.0,0.0,-0.0,8.0,58.0
7203.T,2013,02,05,/Users/min/brexit-uncertainty/src/processed/2013/7203.T-2013-02-05-139656630905.txt,0.0,0.0,-0.0,0.0,-1.0
LLY.N,2013,07,24,/Users/min/brexit-uncertainty/src/processed/2013/LLY.N-2013-07-24-138630738715.txt,0.0,0.0,-0.0,6.0,50.0
F.N,2013,04,24,/Users/min/brexit-uncertainty/src/processed/2013/F.N-2013-04-24-138413489599.txt,0.0,0.0,-0.0,6.0,68.0
JNJ.N,2013,04,16,/Users/min/brexit-uncertainty/src/processed/2013/JNJ.N-2013-04-16-140537612427.txt,0.0,0.0,-0.0,2.0,50.0
AZN.L,2013,08,01,/Users/min/brexit-uncertainty/src/processed/2013/AZN.L-2013-08-01-137903948186.txt,0.0,0.0,-0.0,6.0,52.0
7203.T,2013,11,06,/Users/min/brexit-uncertainty/src/processed/2013/7203.T-2013-11-06-138393853642.txt,0.0,0.0,-0.0,0.0,6.0
F.N,2013,04,24,/Users/min/brexit-uncertainty/src/processed/2013/F.N-2013-04-24-138333373615.txt,0.0,0.0,-0.0,1.0,-8.0
KRFT.O,2013,02,15,/Users/min/brexit-uncertainty/src/processed/2013/KRFT.O-2013-02-15-140858816269.txt,0.0,0.0,-0.0,3.0,37.0
F.N,2013,01,29,/Users/min/brexit-uncertainty/src/processed/2013/F.N-2013-01-29-140697301708.txt,0.0,0.0,-0.0,2.0,-11.0
KR.N,2013,09,12,/Users/min/brexit-uncertainty/src/processed/2013/KR.N-2013-09-12-138765758492.txt,0.0,0.0,-0.0,0.0,110.0
TSCO.L,2013,04,17,/Users/min/brexit-uncertainty/src/processed/2013/TSCO.L-2013-04-17-138043584744.txt,0.0,0.0,-0.0,3.0,175.0
JNJ.N,2013,07,16,/Users/min/brexit-uncertainty/src/processed/2013/JNJ.N-2013-07-16-140981724350.txt,0.0,0.0,-0.0,4.0,216.0
BP.L,2013,04,30,/Users/min/brexit-uncertainty/src/processed/2013/BP.L-2013-04-30-139366941914.txt,0.0,0.0,-0.0,4.0,37.0
F.N,2013,10,24,/Users/min/brexit-uncertainty/src/processed/2013/F.N-2013-10-24-140310374921.txt,0.0,0.0,-0.0,5.0,167.0
7203.T,2013,08,02,/Users/min/brexit-uncertainty/src/processed/2013/7203.T-2013-08-02-140758595771.txt,0.0,0.0,-0.0,0.0,-1.0
LLY.N,2013,01,29,/Users/min/brexit-uncertainty/src/processed/2013/LLY.N-2013-01-29-138602223739.txt,0.0,0.0,-0.0,4.0,18.0
DPWGn.DE,2013,05,14,/Users/min/brexit-uncertainty/src/processed/2013/DPWGn.DE-2013-05-14-137074209707.txt,0.0,0.0,-0.0,3.0,38.0
KR.N,2013,12,05,/Users/min/brexit-uncertainty/src/processed/2013/KR.N-2013-12-05-140861526577.txt,0.0,0.0,-0.0,22.0,77.0
BARC.L,2013,02,12,/Users/min/brexit-uncertainty/src/processed/2013/BARC.L-2013-02-12-140840369742.txt,0.0,0.0,-0.0,10.0,13.0
7203.T,2013,11,06,/Users/min/brexit-uncertainty/src/processed/2013/7203.T-2013-11-06-137927219270.txt,0.0,0.0,-0.0,0.0,-1.0
LLY.N,2013,10,23,/Users/min/brexit-uncertainty/src/processed/2013/LLY.N-2013-10-23-138725879011.txt,0.0,0.0,-0.0,3.0,25.0
7203.T,2013,05,08,/Users/min/brexit-uncertainty/src/processed/2013/7203.T-2013-05-08-138962126734.txt,0.0,0.0,-0.0,0.0,1.0
KRFT.O,2013,08,01,/Users/min/brexit-uncertainty/src/processed/2013/KRFT.O-2013-08-01-140540605958.txt,0.0,0.0,-0.0,3.0,91.0
KR.N,2013,03,07,/Users/min/brexit-uncertainty/src/processed/2013/KR.N-2013-03-07-138804249267.txt,0.0,0.0,-0.0,0.0,85.0
KRFT.O,2013,10,30,/Users/min/brexit-uncertainty/src/processed/2013/KRFT.O-2013-10-30-137112529361.txt,0.0,0.0,-0.0,3.0,24.0
